content,translation
或 敢 侮 予 ？,谁 敢 来 欺 侮 呢 ？
诗 云 ：,《 诗 经 》 上 说 ：
诗 云 ： 永 言 配 命 ，,《 诗 经 》 上 说 ： 长 久 地 配 合 天 命 ，
诗 云 ： 永 言 配 命 ， 自 求 多 褔 。,《 诗 经 》 上 说 ： 长 久 地 配 合 天 命 ， 为 自 己 寻 找 更 多 的 幸 福 。
永 言 配 命 ，,长 久 地 配 合 天 命 ，
永 言 配 命 ， 自 求 多 褔 。,长 久 地 配 合 天 命 ， 为 自 己 寻 找 更 多 的 幸 福 。
自 求 多 褔 。,为 自 己 寻 找 更 多 的 幸 福 。
太 甲 曰 ：,《 尚 书 · 太 甲 》 上 说 ：
太 甲 曰 ： 天 作 孽 ，,《 尚 书 · 太 甲 》 上 说 ： 天 降 灾 祸 ，
太 甲 曰 ： 天 作 孽 ， 犹 可 违 ；,《 尚 书 · 太 甲 》 上 说 ： 天 降 灾 祸 ， 还 可 以 躲 避 ；
天 作 孽 ，,天 降 灾 祸 ，
天 作 孽 ， 犹 可 违 ；,天 降 灾 祸 ， 还 可 以 躲 避 ；
犹 可 违 ；,还 可 以 躲 避 ；
自 作 孽 ，,自 己 做 坏 事 ，
自 作 孽 ， 不 可 活 。,自 己 做 坏 事 ， 就 逃 脱 不 了 灭 亡 。
不 可 活 。,就 逃 脱 不 了 灭 亡 。
此 之 谓 也 。,说 的 就 是 这 个 意 思 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 尊 贤 使 能 ，,孟 子 说 ： 尊 重 贤 才 使 用 能 干 的 人 ，
孟 子 曰 ： 尊 贤 使 能 ， 俊 杰 在 位 ，,孟 子 说 ： 尊 重 贤 才 使 用 能 干 的 人 ， 英 俊 豪 杰 在 位 ，
尊 贤 使 能 ，,尊 重 贤 才 使 用 能 干 的 人 ，
尊 贤 使 能 ， 俊 杰 在 位 ，,尊 重 贤 才 使 用 能 干 的 人 ， 英 俊 豪 杰 在 位 ，
尊 贤 使 能 ， 俊 杰 在 位 ， 市 廛 而 不 征 ，,尊 重 贤 才 使 用 能 干 的 人 ， 英 俊 豪 杰 在 位 ， 出 租 房 屋 而 不 征 税 ，
俊 杰 在 位 ，,英 俊 豪 杰 在 位 ，
俊 杰 在 位 ， 市 廛 而 不 征 ，,英 俊 豪 杰 在 位 ， 出 租 房 屋 而 不 征 税 ，
俊 杰 在 位 ， 市 廛 而 不 征 ， 法 而 不 廛 ，,英 俊 豪 杰 在 位 ， 出 租 房 屋 而 不 征 税 ， 有 法 而 不 针 对 房 屋 ，
市 廛 而 不 征 ，,出 租 房 屋 而 不 征 税 ，
市 廛 而 不 征 ， 法 而 不 廛 ，,出 租 房 屋 而 不 征 税 ， 有 法 而 不 针 对 房 屋 ，
市 廛 而 不 征 ， 法 而 不 廛 ， 关 讥 而 不 征 ，,出 租 房 屋 而 不 征 税 ， 有 法 而 不 针 对 房 屋 ， 仅 是 查 问 而 不 征 税 ，
法 而 不 廛 ，,有 法 而 不 针 对 房 屋 ，
法 而 不 廛 ， 关 讥 而 不 征 ，,有 法 而 不 针 对 房 屋 ， 仅 是 查 问 而 不 征 税 ，
法 而 不 廛 ， 关 讥 而 不 征 ， 廛 无 夫 里 之 布 ，,有 法 而 不 针 对 房 屋 ， 仅 是 查 问 而 不 征 税 ， 房 屋 ， 没 有 划 成 区 域 后 再 分 散 ，
关 讥 而 不 征 ，,仅 是 查 问 而 不 征 税 ，
关 讥 而 不 征 ， 廛 无 夫 里 之 布 ，,仅 是 查 问 而 不 征 税 ， 房 屋 ， 没 有 划 成 区 域 后 再 分 散 ，
关 讥 而 不 征 ， 廛 无 夫 里 之 布 ， 信 能 行 此 五 者 ，,仅 是 查 问 而 不 征 税 ， 房 屋 ， 没 有 划 成 区 域 后 再 分 散 ， 如 果 能 做 到 这 五 点 ，
廛 无 夫 里 之 布 ，,房 屋 ， 没 有 划 成 区 域 后 再 分 散 ，
廛 无 夫 里 之 布 ， 信 能 行 此 五 者 ，,房 屋 ， 没 有 划 成 区 域 后 再 分 散 ， 如 果 能 做 到 这 五 点 ，
廛 无 夫 里 之 布 ， 信 能 行 此 五 者 ， 则 邻 国 之 民 仰 之 若 父 母 矣 。,房 屋 ， 没 有 划 成 区 域 后 再 分 散 ， 如 果 能 做 到 这 五 点 ， 那 么 邻 国 的 人 民 ， 就 会 象 对 父 母 一 样 敬 仰 。
信 能 行 此 五 者 ，,如 果 能 做 到 这 五 点 ，
信 能 行 此 五 者 ， 则 邻 国 之 民 仰 之 若 父 母 矣 。,如 果 能 做 到 这 五 点 ， 那 么 邻 国 的 人 民 ， 就 会 象 对 父 母 一 样 敬 仰 。
则 邻 国 之 民 仰 之 若 父 母 矣 。,那 么 邻 国 的 人 民 ， 就 会 象 对 父 母 一 样 敬 仰 。
率 其 子 弟 ，,而 率 领 儿 女 们 ，
率 其 子 弟 ， 攻 其 父 母 ，,而 率 领 儿 女 们 ， 攻 打 父 母 亲 ，
率 其 子 弟 ， 攻 其 父 母 ， 自 生 民 以 来 ，,而 率 领 儿 女 们 ， 攻 打 父 母 亲 ， 自 有 人 类 以 来 ，
攻 其 父 母 ，,攻 打 父 母 亲 ，
攻 其 父 母 ， 自 生 民 以 来 ，,攻 打 父 母 亲 ， 自 有 人 类 以 来 ，
攻 其 父 母 ， 自 生 民 以 来 ， 未 有 能 济 者 也 。,攻 打 父 母 亲 ， 自 有 人 类 以 来 ， 是 没 有 人 会 这 样 做 的 。
自 生 民 以 来 ，,自 有 人 类 以 来 ，
自 生 民 以 来 ， 未 有 能 济 者 也 。,自 有 人 类 以 来 ， 是 没 有 人 会 这 样 做 的 。
未 有 能 济 者 也 。,是 没 有 人 会 这 样 做 的 。
如 此 ，,就 这 样 ，
如 此 ， 则 无 敌 于 天 下 。,就 这 样 ， 就 会 无 敌 于 天 下 。
则 无 敌 于 天 下 。,就 会 无 敌 于 天 下 。
无 敌 于 天 下 者 ，,天 下 无 敌 的 人 ，
无 敌 于 天 下 者 ， 天 吏 也 。,天 下 无 敌 的 人 ， 是 代 表 上 天 管 理 人 民 的 官 员 ，
天 吏 也 。,是 代 表 上 天 管 理 人 民 的 官 员 ，
然 而 不 王 者 ，,若 是 还 不 能 称 王 行 王 道 ，
然 而 不 王 者 ， 未 之 有 也 。,若 是 还 不 能 称 王 行 王 道 ， 那 是 没 有 的 事 。
未 之 有 也 。,那 是 没 有 的 事 。
梁 惠 王 曰 ：,梁 惠 王 说 ：
梁 惠 王 曰 ： 寡 人 之 于 国 也 ，,梁 惠 王 说 ： 我 对 国 家 的 治 理 ，
梁 惠 王 曰 ： 寡 人 之 于 国 也 ， 尽 心 焉 耳 矣 。,梁 惠 王 说 ： 我 对 国 家 的 治 理 ， 很 尽 心 竭 力 的 吧 ！
寡 人 之 于 国 也 ，,我 对 国 家 的 治 理 ，
寡 人 之 于 国 也 ， 尽 心 焉 耳 矣 。,我 对 国 家 的 治 理 ， 很 尽 心 竭 力 的 吧 ！
尽 心 焉 耳 矣 。,很 尽 心 竭 力 的 吧 ！
河 内 凶 ，,黄 河 以 南 发 生 灾 荒 ，
河 内 凶 ， 则 移 其 民 于 河 东 ，,黄 河 以 南 发 生 灾 荒 ， 就 把 那 里 的 灾 民 移 往 黄 河 以 东 ，
河 内 凶 ， 则 移 其 民 于 河 东 ， 移 其 粟 于 河 内 。,黄 河 以 南 发 生 灾 荒 ， 就 把 那 里 的 灾 民 移 往 黄 河 以 东 ， 把 河 东 的 粮 食 运 到 河 南 。
则 移 其 民 于 河 东 ，,就 把 那 里 的 灾 民 移 往 黄 河 以 东 ，
则 移 其 民 于 河 东 ， 移 其 粟 于 河 内 。,就 把 那 里 的 灾 民 移 往 黄 河 以 东 ， 把 河 东 的 粮 食 运 到 河 南 。
移 其 粟 于 河 内 。,把 河 东 的 粮 食 运 到 河 南 。
察 邻 国 之 政 ，,看 看 邻 国 的 君 主 主 办 政 事 ，
察 邻 国 之 政 ， 无 如 寡 人 之 用 心 者 。,看 看 邻 国 的 君 主 主 办 政 事 ， 没 有 像 我 这 样 尽 心 尽 力 的 。
无 如 寡 人 之 用 心 者 。,没 有 像 我 这 样 尽 心 尽 力 的 。
邻 国 之 民 不 加 少 ，,邻 国 的 百 姓 并 不 见 减 少 ，
邻 国 之 民 不 加 少 ， 寡 人 之 民 不 加 多 ，,邻 国 的 百 姓 并 不 见 减 少 ， 而 我 的 百 姓 并 不 见 增 多 ，
邻 国 之 民 不 加 少 ， 寡 人 之 民 不 加 多 ， 何 也 ？,邻 国 的 百 姓 并 不 见 减 少 ， 而 我 的 百 姓 并 不 见 增 多 ， 这 是 什 么 原 因 呢 ？
寡 人 之 民 不 加 多 ，,而 我 的 百 姓 并 不 见 增 多 ，
寡 人 之 民 不 加 多 ， 何 也 ？,而 我 的 百 姓 并 不 见 增 多 ， 这 是 什 么 原 因 呢 ？
何 也 ？,这 是 什 么 原 因 呢 ？
孟 子 对 曰 ：,孟 子 回 答 道 ：
孟 子 对 曰 ： 王 好 战 ，,孟 子 回 答 道 ： 大 王 您 喜 欢 打 仗 ，
孟 子 对 曰 ： 王 好 战 ， 请 以 战 喻 。,孟 子 回 答 道 ： 大 王 您 喜 欢 打 仗 ， 就 让 我 用 打 仗 来 打 比 方 吧 。
王 好 战 ，,大 王 您 喜 欢 打 仗 ，
王 好 战 ， 请 以 战 喻 。,大 王 您 喜 欢 打 仗 ， 就 让 我 用 打 仗 来 打 比 方 吧 。
请 以 战 喻 。,就 让 我 用 打 仗 来 打 比 方 吧 。
填 然 鼓 之 ，,战 鼓 咚 咚 敲 响 ，
填 然 鼓 之 ， 兵 刃 既 接 ，,战 鼓 咚 咚 敲 响 ， 交 战 激 烈 了 ，
填 然 鼓 之 ， 兵 刃 既 接 ， 弃 甲 曳 兵 而 走 。,战 鼓 咚 咚 敲 响 ， 交 战 激 烈 了 ， 战 败 的 士 兵 丢 盔 弃 甲 拖 着 武 器 逃 跑 ，
兵 刃 既 接 ，,交 战 激 烈 了 ，
兵 刃 既 接 ， 弃 甲 曳 兵 而 走 。,交 战 激 烈 了 ， 战 败 的 士 兵 丢 盔 弃 甲 拖 着 武 器 逃 跑 ，
弃 甲 曳 兵 而 走 。,战 败 的 士 兵 丢 盔 弃 甲 拖 着 武 器 逃 跑 ，
或 百 步 而 后 止 ，,有 的 跑 了 上 百 步 才 停 下 ，
或 百 步 而 后 止 ， 或 五 十 步 而 后 止 。,有 的 跑 了 上 百 步 才 停 下 ， 有 的 跑 了 五 十 步 就 停 了 脚 。
或 五 十 步 而 后 止 。,有 的 跑 了 五 十 步 就 停 了 脚 。
则 何 如 ？,您 觉 得 行 不 行 呢 ？
曰 ：,梁 惠 王 说 ：
曰 ： 不 可 ，,梁 惠 王 说 ： 不 行 。
曰 ： 不 可 ， 直 不 百 步 耳 ，,梁 惠 王 说 ： 不 行 。 他 只 不 过 没 有 逃 跑 到 一 百 步 罢 了 ，
不 可 ，,不 行 。
不 可 ， 直 不 百 步 耳 ，,不 行 。 他 只 不 过 没 有 逃 跑 到 一 百 步 罢 了 ，
不 可 ， 直 不 百 步 耳 ， 是 亦 走 也 。,不 行 。 他 只 不 过 没 有 逃 跑 到 一 百 步 罢 了 ， 可 是 这 也 同 样 是 逃 跑 呀 ！
直 不 百 步 耳 ，,他 只 不 过 没 有 逃 跑 到 一 百 步 罢 了 ，
直 不 百 步 耳 ， 是 亦 走 也 。,他 只 不 过 没 有 逃 跑 到 一 百 步 罢 了 ， 可 是 这 也 同 样 是 逃 跑 呀 ！
是 亦 走 也 。,可 是 这 也 同 样 是 逃 跑 呀 ！
曰 ：,孟 子 说 ：
曰 ： 王 如 知 此 ，,孟 子 说 ： 大 王 您 既 然 懂 得 这 个 道 理 ，
曰 ： 王 如 知 此 ， 则 无 望 民 之 多 于 邻 国 也 。,孟 子 说 ： 大 王 您 既 然 懂 得 这 个 道 理 ， 就 不 必 去 期 望 您 的 国 家 的 民 众 比 邻 国 增 多 啦 。
王 如 知 此 ，,大 王 您 既 然 懂 得 这 个 道 理 ，
王 如 知 此 ， 则 无 望 民 之 多 于 邻 国 也 。,大 王 您 既 然 懂 得 这 个 道 理 ， 就 不 必 去 期 望 您 的 国 家 的 民 众 比 邻 国 增 多 啦 。
则 无 望 民 之 多 于 邻 国 也 。,就 不 必 去 期 望 您 的 国 家 的 民 众 比 邻 国 增 多 啦 。
不 违 农 时 ，,只 要 不 违 背 农 时 ，
不 违 农 时 ， 谷 不 可 胜 食 也 ；,只 要 不 违 背 农 时 ， 那 粮 食 就 吃 不 完 ；
谷 不 可 胜 食 也 ；,那 粮 食 就 吃 不 完 ；
数 罟 不 入 洿 池 ，,密 孔 的 渔 网 不 入 池 塘 ，
数 罟 不 入 洿 池 ， 鱼 鳖 不 可 胜 食 也 ；,密 孔 的 渔 网 不 入 池 塘 ， 那 鱼 鳖 水 产 就 吃 不 完 ；
鱼 鳖 不 可 胜 食 也 ；,那 鱼 鳖 水 产 就 吃 不 完 ；
斧 斤 以 时 入 山 林 ，,砍 伐 林 木 有 定 时 ，
斧 斤 以 时 入 山 林 ， 材 木 不 可 胜 用 也 。,砍 伐 林 木 有 定 时 ， 那 木 材 便 用 不 尽 。
材 木 不 可 胜 用 也 。,那 木 材 便 用 不 尽 。
谷 与 鱼 鳖 不 可 胜 食 ，,粮 食 和 鱼 类 吃 不 完 ，
谷 与 鱼 鳖 不 可 胜 食 ， 材 木 不 可 胜 用 ，,粮 食 和 鱼 类 吃 不 完 ， 木 材 用 无 尽 ，
谷 与 鱼 鳖 不 可 胜 食 ， 材 木 不 可 胜 用 ， 养 生 丧 死 无 憾 ，,粮 食 和 鱼 类 吃 不 完 ， 木 材 用 无 尽 ， 老 百 姓 养 生 送 死 没 有 缺 憾 ，
材 木 不 可 胜 用 ，,木 材 用 无 尽 ，
材 木 不 可 胜 用 ， 养 生 丧 死 无 憾 ，,木 材 用 无 尽 ， 老 百 姓 养 生 送 死 没 有 缺 憾 ，
材 木 不 可 胜 用 ， 养 生 丧 死 无 憾 ， 王 道 之 始 也 。,木 材 用 无 尽 ， 老 百 姓 养 生 送 死 没 有 缺 憾 ， 这 正 是 王 道 的 开 始 。
养 生 丧 死 无 憾 ，,老 百 姓 养 生 送 死 没 有 缺 憾 ，
养 生 丧 死 无 憾 ， 王 道 之 始 也 。,老 百 姓 养 生 送 死 没 有 缺 憾 ， 这 正 是 王 道 的 开 始 。
王 道 之 始 也 。,这 正 是 王 道 的 开 始 。
五 亩 之 宅 ，,在 五 亩 大 的 住 宅 田 旁 ，
五 亩 之 宅 ， 树 之 以 桑 ，,在 五 亩 大 的 住 宅 田 旁 ， 种 上 桑 树 ，
五 亩 之 宅 ， 树 之 以 桑 ， 五 十 者 可 以 衣 帛 矣 ；,在 五 亩 大 的 住 宅 田 旁 ， 种 上 桑 树 ， 上 了 五 十 岁 的 人 就 可 以 穿 着 丝 绸 了 ；
树 之 以 桑 ，,种 上 桑 树 ，
树 之 以 桑 ， 五 十 者 可 以 衣 帛 矣 ；,种 上 桑 树 ， 上 了 五 十 岁 的 人 就 可 以 穿 着 丝 绸 了 ；
五 十 者 可 以 衣 帛 矣 ；,上 了 五 十 岁 的 人 就 可 以 穿 着 丝 绸 了 ；
鸡 豚 狗 彘 之 畜 ，,鸡 鸭 猪 狗 不 失 时 节 地 繁 殖 饲 养 ，
鸡 豚 狗 彘 之 畜 ， 七 十 者 可 以 食 肉 矣 ；,鸡 鸭 猪 狗 不 失 时 节 地 繁 殖 饲 养 ， 上 了 七 十 岁 的 人 就 可 以 经 常 吃 到 肉 食 了 。
七 十 者 可 以 食 肉 矣 ；,上 了 七 十 岁 的 人 就 可 以 经 常 吃 到 肉 食 了 。
数 口 之 家 可 以 无 饥 矣 ；,数 口 之 家 就 不 会 闹 灾 荒 了 。
谨 庠 序 之 教 ，,注 重 乡 校 的 教 育 ，
谨 庠 序 之 教 ， 申 之 以 孝 悌 之 义 ，,注 重 乡 校 的 教 育 ， 强 调 孝 敬 长 辈 的 道 理 ，
谨 庠 序 之 教 ， 申 之 以 孝 悌 之 义 ， 七 十 者 衣 帛 食 肉 ，,注 重 乡 校 的 教 育 ， 强 调 孝 敬 长 辈 的 道 理 ， 年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ，
申 之 以 孝 悌 之 义 ，,强 调 孝 敬 长 辈 的 道 理 ，
申 之 以 孝 悌 之 义 ， 七 十 者 衣 帛 食 肉 ，,强 调 孝 敬 长 辈 的 道 理 ， 年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ，
申 之 以 孝 悌 之 义 ， 七 十 者 衣 帛 食 肉 ， 黎 民 不 饥 不 寒 ，,强 调 孝 敬 长 辈 的 道 理 ， 年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ， 老 百 姓 不 缺 衣 少 食 ，
七 十 者 衣 帛 食 肉 ，,年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ，
七 十 者 衣 帛 食 肉 ， 黎 民 不 饥 不 寒 ，,年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ， 老 百 姓 不 缺 衣 少 食 ，
七 十 者 衣 帛 食 肉 ， 黎 民 不 饥 不 寒 ， 未 之 有 也 。,年 满 七 十 岁 的 人 能 穿 上 丝 绸 吃 上 鱼 肉 ， 老 百 姓 不 缺 衣 少 食 ， 不 会 有 这 样 的 情 况 的 。
黎 民 不 饥 不 寒 ，,老 百 姓 不 缺 衣 少 食 ，
黎 民 不 饥 不 寒 ， 未 之 有 也 。,老 百 姓 不 缺 衣 少 食 ， 不 会 有 这 样 的 情 况 的 。
未 之 有 也 。,不 会 有 这 样 的 情 况 的 。
狗 彘 食 人 食 而 不 知 检 ，,狗 猪 吃 的 是 人 吃 的 食 物 而 不 知 道 设 法 制 止 ，
狗 彘 食 人 食 而 不 知 检 ， 非 我 也 ，,狗 猪 吃 的 是 人 吃 的 食 物 而 不 知 道 设 法 制 止 ， 人 死 了 反 而 说 与 我 无 关 ，
狗 彘 食 人 食 而 不 知 检 ， 非 我 也 ， 王 无 罪 岁 ，,狗 猪 吃 的 是 人 吃 的 食 物 而 不 知 道 设 法 制 止 ， 人 死 了 反 而 说 与 我 无 关 ， 大 王 您 要 能 够 不 归 罪 于 荒 年 ，
非 我 也 ，,人 死 了 反 而 说 与 我 无 关 ，
非 我 也 ， 王 无 罪 岁 ，,人 死 了 反 而 说 与 我 无 关 ， 大 王 您 要 能 够 不 归 罪 于 荒 年 ，
非 我 也 ， 王 无 罪 岁 ， 斯 天 下 之 民 至 焉 。,人 死 了 反 而 说 与 我 无 关 ， 大 王 您 要 能 够 不 归 罪 于 荒 年 ， 普 天 下 的 百 姓 便 会 涌 向 您 这 儿 来 了 。
王 无 罪 岁 ，,大 王 您 要 能 够 不 归 罪 于 荒 年 ，
王 无 罪 岁 ， 斯 天 下 之 民 至 焉 。,大 王 您 要 能 够 不 归 罪 于 荒 年 ， 普 天 下 的 百 姓 便 会 涌 向 您 这 儿 来 了 。
斯 天 下 之 民 至 焉 。,普 天 下 的 百 姓 便 会 涌 向 您 这 儿 来 了 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 人 皆 有 不 忍 人 之 心 。,孟 子 说 ： 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 。
人 皆 有 不 忍 人 之 心 。,每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 。
先 王 有 不 忍 人 之 心 ，,先 王 由 于 怜 悯 体 恤 别 人 的 心 情 ，
先 王 有 不 忍 人 之 心 ， 斯 有 不 忍 人 之 政 矣 。,先 王 由 于 怜 悯 体 恤 别 人 的 心 情 ， 所 以 才 有 怜 悯 体 恤 百 姓 的 政 治 。
斯 有 不 忍 人 之 政 矣 。,所 以 才 有 怜 悯 体 恤 百 姓 的 政 治 。
以 不 忍 人 之 心 ，,用 怜 悯 体 恤 别 人 的 心 情 ，
以 不 忍 人 之 心 ， 行 不 忍 人 之 政 ，,用 怜 悯 体 恤 别 人 的 心 情 ， 施 行 怜 悯 体 恤 百 姓 的 政 治 ，
以 不 忍 人 之 心 ， 行 不 忍 人 之 政 ， 所 以 谓 人 皆 有 不 忍 人 之 心 者 ，,用 怜 悯 体 恤 别 人 的 心 情 ， 施 行 怜 悯 体 恤 百 姓 的 政 治 ， 之 所 以 说 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 ，
行 不 忍 人 之 政 ，,施 行 怜 悯 体 恤 百 姓 的 政 治 ，
行 不 忍 人 之 政 ， 所 以 谓 人 皆 有 不 忍 人 之 心 者 ，,施 行 怜 悯 体 恤 百 姓 的 政 治 ， 之 所 以 说 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 ，
行 不 忍 人 之 政 ， 所 以 谓 人 皆 有 不 忍 人 之 心 者 ， 皆 有 怵 惕 恻 隐 之 心 。,施 行 怜 悯 体 恤 百 姓 的 政 治 ， 之 所 以 说 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 ， 必 然 会 产 生 同 情 的 心 理 。
所 以 谓 人 皆 有 不 忍 人 之 心 者 ，,之 所 以 说 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 ，
所 以 谓 人 皆 有 不 忍 人 之 心 者 ， 皆 有 怵 惕 恻 隐 之 心 。,之 所 以 说 每 个 人 都 有 怜 悯 体 恤 别 人 的 心 情 ， 必 然 会 产 生 同 情 的 心 理 。
皆 有 怵 惕 恻 隐 之 心 。,必 然 会 产 生 同 情 的 心 理 。
非 所 以 内 交 于 孺 子 之 父 母 也 ，,这 不 是 因 为 要 想 去 和 这 孩 子 的 父 母 拉 关 系 ，
非 所 以 内 交 于 孺 子 之 父 母 也 ， 非 所 以 要 誉 于 乡 党 朋 友 也 ，,这 不 是 因 为 要 想 去 和 这 孩 子 的 父 母 拉 关 系 ， 不 是 因 为 要 想 在 乡 邻 朋 友 中 博 取 声 誉 ，
非 所 以 内 交 于 孺 子 之 父 母 也 ， 非 所 以 要 誉 于 乡 党 朋 友 也 ， 非 恶 其 声 而 然 也 。,这 不 是 因 为 要 想 去 和 这 孩 子 的 父 母 拉 关 系 ， 不 是 因 为 要 想 在 乡 邻 朋 友 中 博 取 声 誉 ， 也 不 是 因 为 厌 恶 他 的 声 音 而 这 样 做 。
非 所 以 要 誉 于 乡 党 朋 友 也 ，,不 是 因 为 要 想 在 乡 邻 朋 友 中 博 取 声 誉 ，
非 所 以 要 誉 于 乡 党 朋 友 也 ， 非 恶 其 声 而 然 也 。,不 是 因 为 要 想 在 乡 邻 朋 友 中 博 取 声 誉 ， 也 不 是 因 为 厌 恶 他 的 声 音 而 这 样 做 。
非 恶 其 声 而 然 也 。,也 不 是 因 为 厌 恶 他 的 声 音 而 这 样 做 。
由 是 观 之 ，,由 此 看 来 ，
由 是 观 之 ， 无 恻 隐 之 心 ，,由 此 看 来 ， 没 有 同 情 心 ，
由 是 观 之 ， 无 恻 隐 之 心 ， 非 人 也 ；,由 此 看 来 ， 没 有 同 情 心 ， 简 直 不 是 人 ；
无 恻 隐 之 心 ，,没 有 同 情 心 ，
无 恻 隐 之 心 ， 非 人 也 ；,没 有 同 情 心 ， 简 直 不 是 人 ；
非 人 也 ；,简 直 不 是 人 ；
无 羞 恶 之 心 ，,没 有 羞 耻 心 ，
无 羞 恶 之 心 ， 非 人 也 ；,没 有 羞 耻 心 ， 简 直 不 是 人 ；
非 人 也 ；,简 直 不 是 人 ；
无 辞 让 之 心 ，,没 有 谦 让 心 ，
无 辞 让 之 心 ， 非 人 也 ；,没 有 谦 让 心 ， 简 直 不 是 人 ；
非 人 也 ；,简 直 不 是 人 ；
无 是 非 之 心 ，,没 有 是 非 心 ，
无 是 非 之 心 ， 非 人 也 。,没 有 是 非 心 ， 简 直 不 是 人 。
非 人 也 。,简 直 不 是 人 。
仁 之 端 也 ；,仁 的 发 端 ；
义 之 端 也 ；,义 的 发 端 ；
礼 之 端 也 ；,礼 的 发 端 ；
智 之 端 也 。,智 的 发 端 。
人 之 有 是 四 端 也 ，,人 有 这 四 种 发 端 ，
人 之 有 是 四 端 也 ， 犹 其 有 四 体 也 。,人 有 这 四 种 发 端 ， 就 像 有 四 肢 一 样 。
犹 其 有 四 体 也 。,就 像 有 四 肢 一 样 。
有 是 四 端 而 自 谓 不 能 者 ，,有 了 这 四 种 发 端 却 自 认 为 不 行 的 ，
有 是 四 端 而 自 谓 不 能 者 ， 自 贼 者 也 ；,有 了 这 四 种 发 端 却 自 认 为 不 行 的 ， 是 自 暴 自 弃 的 人 ；
自 贼 者 也 ；,是 自 暴 自 弃 的 人 ；
谓 其 君 不 能 者 ，,认 为 他 的 君 主 不 行 的 ，
谓 其 君 不 能 者 ， 贼 其 君 者 也 。,认 为 他 的 君 主 不 行 的 ， 是 暴 弃 君 主 的 人 。
贼 其 君 者 也 。,是 暴 弃 君 主 的 人 。
凡 有 四 端 于 我 者 ，,凡 是 有 这 四 种 发 端 的 人 ，
凡 有 四 端 于 我 者 ， 知 皆 扩 而 充 之 矣 ，,凡 是 有 这 四 种 发 端 的 人 ， 知 道 都 要 扩 大 充 实 它 们 ，
凡 有 四 端 于 我 者 ， 知 皆 扩 而 充 之 矣 ， 若 火 之 始 然 ，,凡 是 有 这 四 种 发 端 的 人 ， 知 道 都 要 扩 大 充 实 它 们 ， 就 像 火 刚 刚 开 始 燃 烧 ，
知 皆 扩 而 充 之 矣 ，,知 道 都 要 扩 大 充 实 它 们 ，
知 皆 扩 而 充 之 矣 ， 若 火 之 始 然 ，,知 道 都 要 扩 大 充 实 它 们 ， 就 像 火 刚 刚 开 始 燃 烧 ，
知 皆 扩 而 充 之 矣 ， 若 火 之 始 然 ， 泉 之 始 达 。,知 道 都 要 扩 大 充 实 它 们 ， 就 像 火 刚 刚 开 始 燃 烧 ， 泉 水 刚 刚 开 始 流 淌 。
若 火 之 始 然 ，,就 像 火 刚 刚 开 始 燃 烧 ，
若 火 之 始 然 ， 泉 之 始 达 。,就 像 火 刚 刚 开 始 燃 烧 ， 泉 水 刚 刚 开 始 流 淌 。
泉 之 始 达 。,泉 水 刚 刚 开 始 流 淌 。
苟 能 充 之 ，,如 果 能 够 扩 充 它 们 ，
苟 能 充 之 ， 足 以 保 四 海 ；,如 果 能 够 扩 充 它 们 ， 便 足 以 安 定 天 下 ，
足 以 保 四 海 ；,便 足 以 安 定 天 下 ，
苟 不 充 之 ，,如 果 不 能 够 扩 充 它 们 ，
苟 不 充 之 ， 不 足 以 事 父 母 。,如 果 不 能 够 扩 充 它 们 ， 就 连 赡 养 父 母 都 成 问 题 。
不 足 以 事 父 母 。,就 连 赡 养 父 母 都 成 问 题 。
孟 子 曰 ：,孟 子 说 ：
孟 子 曰 ： 矢 人 岂 不 仁 于 函 人 哉 ？,孟 子 说 ： 造 箭 的 人 难 道 不 如 造 销 甲 的 人 仁 慈 吗 ？
矢 人 岂 不 仁 于 函 人 哉 ？,造 箭 的 人 难 道 不 如 造 销 甲 的 人 仁 慈 吗 ？
函 人 唯 恐 伤 人 。,造 销 甲 的 人 却 唯 恐 箭 伤 害 了 人 。
故 术 不 可 不 慎 也 。,一 个 人 选 择 谋 生 职 业 不 可 以 不 谨 慎 。
孔 子 曰 ：,孔 子 说 ：
孔 子 曰 ： 里 仁 为 美 。,孔 子 说 ： 居 住 在 有 仁 厚 风 气 的 地 方 才 好 。
里 仁 为 美 。,居 住 在 有 仁 厚 风 气 的 地 方 才 好 。
焉 得 智 ？,怎 么 能 说 是 明 智 呢 ？
夫 仁 ，,仁 ，
夫 仁 ， 天 之 尊 爵 也 ，,仁 ， 是 上 天 尊 贵 的 爵 位 ，
